title,text,predict_label,true_label,result,reason
Employee Injured While Operating Unisul Spraying Machine,On november 12 2002 six employees were spraying a fire retardant onto steel columns and beams at a jobsite. During this operation two machines were in use which required three persons each to operate it. On one of the machines one employee served as a foreman one sprayed the retardant and one dumped the material into the unisul spraying machine (employee #1). Employee #1 was in the process of dumping the fire retardant material into the hopper of the unisul machine when the machine jammed. He tried to correct the jam by pushing some of the material down towards the auger. His arm became caught by the tines which feeds material into the auger. An electrician noticed employee #1 yelling for help and immediately cut the electrical power to the machine. Emergency services were contacted and employee #1 was transported to the hospital. He was hospitalized and treated for a puncture wound to his forearm. The machine did not have a point of contact guarded which would have kept any of his body parts from coming in contact with the augers in the hopper during the operation cycle.,caught in/between objects,caught in/between objects,正确,"The incident primarily involves Employee #1 becoming caught between the moving tines of the auger and the material he was handling, which aligns closely with the definition of ""caught in/between objects"". Although the auger is a moving object, the primary mechanism of injury is the trapping action between the moving parts and the employee, which is more consistent with the ""caught in/between objects"" category as exemplified in the similar samples provided."
Employee Killed When Caught Between Steel Beam And Console,At approximately 1:50 p.m. on july 31 2001 employee #1 was working alone in the personnel platform of an extensible and articulating boom lift that is an aerial lift. Employee #1 was killed when his neck was caught between the bottom of an outside flange of an overhead steel beam and the platform control console. An investigation revealed that the aerial lift was used in an area where there was a low overhead clearance and that the aerial lift turntable was driven in a position which was contrary to the manufacturer's instructions. It appeared that employee #1 drove the equipment with the boom positioned over the equipment front steering wheels instead of over the equipment rear axle and driving wheels causing the controls to propel the equipment in the opposite direction than intended.,caught in/between objects,caught in/between objects,正确,"The primary cause of the incident was the employee being caught between the steel beam and the console of the aerial lift. While the movement of the aerial lift contributed to the scenario, the defining characteristic of the accident aligns more closely with the ""caught in/between objects"" category, as it involves the employee being compressed between two stationary objects at the moment of the incident. This matches the descriptions in the similar samples provided under this category."
Employee Killed When Head Strikes Tractor'S Protective Cage,At approximately 2:00 p.m. on december 21 1995 employee #1 was clearing brush from around a water settlement pond. To stabilize himself he tied a rope around himself while a coworker held the other end. A tractor with a bush hog was mowing grass in the area. The loose end of the rope became wrapped around the bush hog. The rope was pulled from the coworker's grip and pulled employee #1 into the tractor's protective cage. Employee #1 died of head injuries.,caught in/between objects,caught in/between objects,正确,"The primary cause of the incident was the employee being pulled into the tractor's protective cage by the rope, resulting in entrapment. This aligns more closely with the definition of ""caught in/between objects"" which involves being caught between objects, leading to injury. Although the protective cage can be considered a moving object, the mechanism of injury primarily involves entrapment rather than a direct strike, making ""caught in/between objects"" the more appropriate classification."
Employee'S Body Is Caught In Asphalt Machine  Dies,On november 27 2012 employee #1 was operating an asphalt-pulverizing machine. The employee's work clothing zipper was caught in the asphalt-pulverizing machine pulling his body into the squeeze point action of the machine. Employee #1 was amputated from the abdominal point of his body. The employee was pronounced dead at the scene.,caught in/between objects,caught in/between objects,正确,"The primary cause of the incident is the employee's clothing becoming entangled in the asphalt-pulverizing machine, which aligns with the definition of ""caught in/between objects"" as it involves being caught in machinery leading to severe injury. Although the machine's moving parts contributed to the injury, the fundamental issue was the entrapment mechanism rather than a direct strike."
Employee Is Pinned Between Truck And Trailer  Dies,At approximately 7:00 a.m. on november 27 2912 employee #1 was delivering pipes for a water line installation. The employee was working alone and parked the trailer truck. Employee #1 unhooked the trailer from the truck and the trailer rolled forward. The employee was pinned between the truck and the trailer. A coworker realized the employee#1 had not returned and went to look for him. The coworker found employee #1 caught between the truck and trailer. Another coworker called emergency medical services and employee #1 was transported to a trauma unit where he was pronounced dead.,caught in/between objects,caught in/between objects,正确,"Although the trailer was initially moving, the primary cause of the incident leading to the employee's death was being caught and pinned between the stationary truck and the trailer. This aligns more closely with the ""caught in/between objects"" category, as the final state involves entrapment between two objects, which is consistent with the provided examples where individuals are caught between machinery or vehicles. The traffic category focuses more on incidents directly involving the movement of vehicles striking individuals, which does not fully capture the nature of this entrapment scenario."
Employee'S Toe Injured By Falling Compactor,At approximately 8:10 a.m. on december 12 1991 employee #1 of santa maria electric inc. was operating a walk-behind sheep foot compactor. When he was lowering it into a trench that was about 3 ft wide by 2 ft deep the bumper fell down against the dirt bank catching employee #1's big toe between the bumper and the dirt bank. His toe suffered a chipped bone injury. Employee #1 was wearing regular work boots not hard toe shoes or any other foot protection.,caught in/between objects,caught in/between objects,正确,"The primary cause of the incident was the employee's toe being caught between the compactor's bumper and the dirt bank, which aligns with the definition of ""caught in/between objects."" Although there is a potential to view the bumper's movement as a structural failure, the core issue leading to the injury was the entrapment between the moving bumper and the static dirt bank, making ""caught in/between objects"" the more appropriate category according to the given principle."
Employee'S Arm Is Amputated In Concrete Truck Mixer,On january 13 2005 employee #1 a concrete truck driver arrived at a job site to pour footing concrete into an on-site concrete pump. After realizing that the concrete was too muddy he climbed the ladder and added 50 pounds of lime to dry out the concrete mix. Employee #1 allowed the concrete mixer to run for approximately 15 minutes checked the concrete and again determined the concrete was too muddy. He climbed back up the ladder and added the contents of a 90-pound bag of cement into the upper hopper. While pouring cement the bag slipped out of his hand. When he quickly reached for it his right jacket arm became caught in the hopper causing his arm to be pulled in. Employee #1 was hospitalized for an arm amputation at the elbow.,caught in/between objects,caught in/between objects,正确,"The primary cause of the incident is the employee's arm becoming caught in the hopper of the concrete mixer, which aligns with the definition of ""caught in/between objects."" Although the bag of cement falling could be considered a contributing factor, the direct cause of the injury, which resulted in the arm amputation, was the entrapment mechanism rather than the impact from the falling object."
Employee Is Killed When Struck By Collapsing Wall,On april 30 2008 employee #1 was using a sludge hammer to knock down a 9-ft high cinder block asbestos wall. He struck the wall near the bottom causing the wall to collapse on him. Employee #1 was killed. He did not use scaffolding to access the upper parts of the wall first.,collapse of object,collapse of object,正确,"The primary cause of the incident is the collapse of the asbestos wall, which aligns with the definition of ""collapse of object"" involving structural failure. Although the wall's collapse resulted in the employee being struck by the falling debris, the initial and primary event was the structural failure of the wall itself, not an object simply falling from a height. Therefore, ""collapse of object"" is the most appropriate classification according to the given principle."
One Employee Killed One Injured In Fall From Elevation,Employee #1 was on a column preparing to connect a beam. Employee #2 was positioning a man-lift to connect the other end of the beam to another column. The man-lift hit one of the supports holding the column and the column fell with employee #1 on it. Employee #1 was killed and employee #2 suffered a concussion but was not hospitalized.,collapse of object,collapse of object,正确,"The primary cause of the incident appears to be the structural failure of the column, which fell due to the man-lift hitting one of its supports. Although Employee #1 was struck by the falling column, the root cause of the incident is the collapse of the column itself, aligning with the definition of the ""collapse of object"" category. This is further supported by the similarity of the scenario to the provided top samples under the ""collapse of object"" category, where structural failures are the main incidents."
Employee Is Killed In Trench Cave,On january 22 2008 an employee working for christopher hauswald fell into a 3 ft wide 15 ft deep trench. Moments afterwards the trench caved in on him. The employee died at the scene. No other details were provided in the narrative.%09,collapse of object,collapse of object,正确,"The primary cause of the incident was the structural failure of the trench, leading to a cave-in. This aligns more closely with the definition of ""collapse of object"" which involves cases starting with structural failure, rather than being struck by a moving object, even though the collapsing material does move during the process."
Worker Standing On Raised Plywood Falls  Sustains Injuries,On march 8 2013 an employee of hanover builders was engaged in exterior carpentry work at a residential construction site. He was standing on a sheet of plywood on joists in order to spread a stack of plywood placed next to him. The employee fell approximately 11 feet. He was transported to the hospital where he was admitted and treated for two fractured discs and fractured ribs. The employer was a framing contractor in business for 25 years. This work-related injury was reported to cal/osha on march 22 2013. The investigation determined that the joists did not brace and securely support the load that is the employee plus the stack of plywood.,collapse of object,collapse of object,正确,"Although the text describes the worker falling from an elevated position, the primary cause of the incident was the structural failure of the joists, which did not properly support the load, leading to the collapse of the plywood platform. This aligns more closely with the definition of ""collapse of object"" than the general ""falls"" category, which does not involve structural failure."
One Employees Is Injured When Boring Machine Overturns,On june 14 2012 employee #1 was working for payne mcginn and cummins inc. as operator of a boring machine. Employee # 1 was a member of a five man construction crew which included two employees employee #1 the boring operator and a laborer. Employee #1 was boring several feet under a petroleum line installing a new 20 in. Ductile iron pipe water line for the community they were working in. The excavation was about 15 feet deep 30 to 35 feet long and 12 to 15 feet wide. Employee #1 was positioned on a platform on the right side of a machine of a large horizontal mclaughlin boring 30-36 weighing approximately 5 900 pounds. Employee #1 finished boring 40 feet through the ground and was backing the machine up the machine rolled and lifted up off its 30 foot long track to the right crushing the operator while he was still at the controls. The laborer was in the excavation site he ran over to the operator when he saw the machine lifted up. The rear part of the machine caught the laborer's leg breaking it. The cause of the accident was the machine lifting off of the tracks and crushing the operator and injuring the laborer.,collapse of object,collapse of object,正确,"The accident description indicates that the machine lifted off its tracks and crushed the operator, which aligns more closely with a structural failure or collapse scenario rather than an object falling from a height. The movement and lifting of the machine suggest a collapse or failure of the machine's stability, fitting the definition of ""collapse of object"" better than ""struck by falling object,"" which typically involves an object falling from a higher position without such structural failure implications."
Employee Suffered Face Injury From A Broken Cable,On february 25 2002 a crane operator suffered a face injury when a cable broke. Emergency response was contacted but employee #1 was not taken to the hospital.,collapse of object,collapse of object,正确,"Although the text describes the employee being injured by a broken cable, the primary incident involves the structural failure of the crane's cable, which aligns more closely with the definition of ""collapse of object"" as it pertains to structural failure. The first occurrence of the uncontrolled or unintended action is the breaking of the cable, which is a form of structural failure rather than simply an object falling. This makes ""collapse of object"" the more appropriate category according to the given principle."
Employee Injured When Crane Tipped,On april 23 2001 employee #1 was installing concrete traffic barriers on an interstate highway. Employee #1 was in the process of moving and setting k-rails and was operating a national crane model n-135. The k-rail was 20-ft long and weighed approximately 8 000 pounds. Employee #1 attempted to drag the k-rail closer to the crane and then attempted to lift it without the crane outriggers being fully deployed. This action resulted in overloading the crane and as a result the crane tipped. A portion of the truck-mounted crane's lighting system trapped employee #1 between the k-rail and the truck mounted crane. Employee #1 suffered a fracture pelvis lacerated bladder and trauma to the scrotum area. Employee #1 was hospitalized.,collapse of object,collapse of object,正确,"The primary cause of the incident was the tipping over of the crane due to improper operation, which can be considered a structural failure given the context of the collapse of object category. Although the employee was caught between the k-rail and the crane's lighting system, this secondary event is a consequence of the initial collapse, not the primary cause. Therefore, based on the principle of selecting the primary cause that led to the incident, the category ""collapse of object"" is more appropriate."
Employee Falls Through Floor  Fractures Wrist And Vertebra,At approximately 12:30 p.m. on june 12 2008 employee #1 was pouring concrete to make stairs on the side of the house being remodeled. Employee #1 walked across the second floor of the house through the framing of the wall and stepped on a plywood sheet that collapsed. Employee #1 said he went through the framing and stood on the plywood surface to see if the concrete vibrator was plugged into a spider box located at a lower level. The joists as well as other supports (concrete supports) were removed by the carpenters the morning of the accident due to the demolition project. The carpenters were going to renail the plywood onto new joists. The wood framing employee #1 walked through did not have any openings 18 in. Or wider so it was not a wall opening that required a guardrail. Employee #1 was never told about the unsupported surface. However the project manager of the general contractor said employee #1 was told about the hazard before the injury. Employee #1 fell 9 ft to the ground when the unsupported surface collapsed. Employee #1 suffered a fractured left wrist stretched tendons in his left hand and a fractured and compressed l1 vertebra. Employee #1 was hospitalized for five days.,collapse of object,collapse of object,正确,"The primary cause of the incident was the structural failure of the floor, which collapsed due to the removal of supports. Although the employee fell, the underlying issue that initiated the accident was the collapse of the unsupported surface, fitting the definition of ""collapse of object"" more accurately than the general ""falls"" category."
Employee Is Injured In Aerial Lift Collapse,At approximately 10:45 a.m. on september 19 2009 employee #1 was operating an eagle 44 towable boom lift (serial number 17901) at an approximate height of 32 ft to remove signs located outside of a retail store. When the lower boom's hydraulic cylinder apparently failed the boom fell to the ground. Witnesses indicated that employee #1 was ejected from the basket and then restrained by his fall protection equipment. He was hospitalized at renown medical hospital for severe injuries to his face fractured ribs and a fractured vertebra.,collapse of object,collapse of object,正确,"The primary cause of the incident was the structural failure of the boom's hydraulic cylinder, leading to the collapse of the boom. This aligns with the definition of ""collapse of object,"" which involves cases starting with structural failure. Although the employee was struck by the falling boom, the fundamental cause was the collapse due to mechanical failure, making ""collapse of object"" the more appropriate category according to the principle of selecting the primary cause."
Employee Drowned When Bobcat Flips And Pins Him Underwater,At approximately 8:37 a.m. on february 12 2003 an employee of watson trucking and equipment rental was operating a bobcat at a construction site. The employee was removing debris from the back of a house that was under construction. The employee was in shallow water operating the bobcat. He was observed moving the bobcat bucket in and out of the water. It appears that he was attempting to clean the bucket when the employee tried to back up out of the water. He was unsuccessful. When he tried to move the bobcat to the left the bobcat flipped over in the deepest part of the canal. The bobcat slid down the embankment coming to rest in approximately 48 ft of water. The employee was pinned under the machine and subsequently drowned.,others,collapse of object,错误,"The primary cause of the incident is the bobcat flipping over and pinning the employee underwater, leading to drowning. This scenario does not neatly fit into the ""falls"" category, which typically involves slipping or tripping from heights without the involvement of machinery flipping over. Given the specific nature of the accident and the involvement of a machine flipping, the ""others"" category is more appropriate as it accommodates cases that do not clearly fall into the predefined categories."
Employee Is Killed When Struck By Falling Joists,On october 14 2012 employee #1 and other workers were installing structural steel joists and decking to the top of cmu block walls. The joists were not yet welded into place due to heavy rain earlier in the day. When a bundle of decking was placed on top of the joists they began to roll and bend. A supervisor then had a crane move the bundle to a location where another bundle of decking had already been placed on top of the unsecured joists. When the second bundle of decking was lowered to the unsecured joists they rolled and fell onto employee #1. He was killed.,collapse of object,collapse of object,正确,"Although the employee was struck by the falling joists, the root cause of the incident was the structural failure of the unsecured joists, which began to roll and subsequently fell. This aligns more closely with the definition of ""collapse of object,"" which involves structural failures leading to incidents. The primary cause is thus the collapse due to improper securing rather than simply being struck by a falling object."
Employee Is Struck By Wooden Post  Bruises Shoulder,On december 7 2006 employee #1 was working in a 4 ft deep excavation installing a sewage pump. Approximately 3 ft from the edge of the excavation was a 4-in. By 4-in. By 8-ft wooden post (clothes line pole) imbedded in concrete. The soil was moist. The unsupported post fell into the excavation striking the employee in the left shoulder. He sustained a bruised shoulder. Employee #1 was transported to a hospital and released that same day.,collapse of object,collapse of object,正确,"The wooden post, which was embedded in concrete and considered part of the surrounding structure, fell due to the lack of support, leading to the injury. This aligns more closely with the definition of ""collapse of object,"" which involves structural failure, rather than simply an object falling from height, as indicated in the ""struck by falling object"" category. The principle of identifying the first occurrence of uncontrolled or unintended action is met by recognizing the collapse of the post as the initial event causing the injury."
Employee Falls Due To Ladder Collapse,At approximately 11:15 a.m. on november 12 2012 employee #1 of young's roofing inc. fell from an extension ladder when it collapsed while he was installing a piece of flashing about 14 feet up on the building wall. Employee #2 was working nearby and both employee #1 and employee #2 said the ladder was resting on the building at a point about 15 feet above the sidewalk. According to both workers the bottom rails of the ladder were four to five feet away from the wall. Employee #1 said he was unable to find a tie-off point for his ladder. Employee #2 said he was setting upon a second ladder on the same wall. Employee #1 said he was transferring pressure of his right arm and torso onto the ladder while he was using a cordless power-driver to install screws for the flashing into the wall. Employee #1 felt that this is what dislodged the ladder from the bottom outward away from the wall. Employee #1 was taken to stanford hospital for treatment of injuries including two broken wrists and orbital skull fracture. He was released on november 15 2012.,collapse of object,collapse of object,正确,"The primary cause of the incident was the structural failure of the ladder, which collapsed while the employee was using it. This aligns with the definition of ""collapse of object"" involving cases that started with structural failure. Although the employee fell as a result, the initial and primary cause was the collapse of the ladder itself, not a simple fall from elevation without structural failure."
Employee Killed In Fall When Scaffold Collapses In Wind,At approximately 10:00 a.m. on january 30 2008 employee #1 a stucco installer was on the top level of a 16 ft wide by 18 ft high tubular scaffold. It was positioned on the thirteenth floor roof level 146 ft 9-1/4 in. Above the ground. He was scoring the styrofoam base for the stucco when a high gust of wind caused the scaffold to collapse. Employee #1 fell approximately 140 ft to the third floor roof level. He was transported to the hospital where he was pronounced dead. The scaffold was found to be improperly anchored.,collapse of object,collapse of object,正确,"The primary cause of the incident was the collapse of the scaffold due to improper anchoring and high winds, which aligns with the definition of ""collapse of object"" involving cases that started with structural failure. Although the employee fell from the collapsing scaffold, the fall itself is a consequence of the structural failure rather than an independent event. Therefore, according to the principle of selecting the primary cause that led to the incident, the incident should be classified as ""collapse of object""."
Employee Killed Due To Fall Down Air Draft System,An employee was working on a boom at a hospital over a 200-ft by 6-ft by 38-ft-deep air draft system. The boom started to break and the employee attempted to escape from the boom but fell into the air draft system striking the level below. He suffered bruises and contusions and was killed.,collapse of object,collapse of object,正确,"Although the employee ultimately fell into the air draft system, the primary cause of the incident was the structural failure of the boom, which initiated the sequence of events leading to the fall. This aligns more closely with the definition of ""collapse of object"" as it involves a case that started with structural failure, rather than simply a fall from elevation without structural failure."
Employee Killed In Fall When Bridge Form Collapses,Employee #1 was operating a bull float on a bridge deck when the form gave way and the bridge deck caved in. He fell head first and was buried up to his chest in soft concrete. It took approximately 15 minutes to rescue employee #1 from the concrete. He was transported to the local hospital where he was treated in intensive care for several days before he died.,collapse of object,collapse of object,正确,"The primary cause of the incident described is the structural failure of the bridge deck, which led to the collapse of the form and subsequent fall of Employee #1. Although the fall resulted in severe injury and death, the initiating and critical event was the structural failure, which aligns with the definition of ""collapse of object."""
