title,text,predicted_label1,predicted_label2,true_label,result,confusion_point
Employee Injured While Operating Unisul Spraying Machine,On november 12 2002 six employees were spraying a fire retardant onto steel columns and beams at a jobsite. During this operation two machines were in use which required three persons each to operate it. On one of the machines one employee served as a foreman one sprayed the retardant and one dumped the material into the unisul spraying machine (employee #1). Employee #1 was in the process of dumping the fire retardant material into the hopper of the unisul machine when the machine jammed. He tried to correct the jam by pushing some of the material down towards the auger. His arm became caught by the tines which feeds material into the auger. An electrician noticed employee #1 yelling for help and immediately cut the electrical power to the machine. Emergency services were contacted and employee #1 was transported to the hospital. He was hospitalized and treated for a puncture wound to his forearm. The machine did not have a point of contact guarded which would have kept any of his body parts from coming in contact with the augers in the hopper during the operation cycle.,caught in/between objects,struck by moving objects,caught in/between objects,正确,"The text might be classified as caught in/between objects because his arm became entangled in the machine’s tines during operation, resembling entrapment in machinery components; it might also be classified as struck by moving objects because the tines were actively feeding material into the auger, functioning as moving parts that struck and injured the victim during their motion."
Employee Killed When Caught Between Steel Beam And Console,At approximately 1:50 p.m. on july 31 2001 employee #1 was working alone in the personnel platform of an extensible and articulating boom lift that is an aerial lift. Employee #1 was killed when his neck was caught between the bottom of an outside flange of an overhead steel beam and the platform control console. An investigation revealed that the aerial lift was used in an area where there was a low overhead clearance and that the aerial lift turntable was driven in a position which was contrary to the manufacturer's instructions. It appeared that employee #1 drove the equipment with the boom positioned over the equipment front steering wheels instead of over the equipment rear axle and driving wheels causing the controls to propel the equipment in the opposite direction than intended.,caught in/between objects,struck by moving objects,caught in/between objects,正确,"The text might be classified as caught in/between objects because the employee was pinned between a stationary steel beam and the platform console, resembling entrapment between two objects; it might also be classified as struck by moving objects because the aerial lift’s unintended movement (due to improper positioning) functionally acted as a moving mechanism that propelled the victim into the beam, aligning with impacts caused by equipment motion."
Employee Killed When Head Strikes Tractor'S Protective Cage,At approximately 2:00 p.m. on december 21 1995 employee #1 was clearing brush from around a water settlement pond. To stabilize himself he tied a rope around himself while a coworker held the other end. A tractor with a bush hog was mowing grass in the area. The loose end of the rope became wrapped around the bush hog. The rope was pulled from the coworker's grip and pulled employee #1 into the tractor's protective cage. Employee #1 died of head injuries.,struck by moving objects,caught in/between objects,caught in/between objects,正确,"The text might be classified as struck by moving objects because the tractor’s bush hog was in motion, and the employee was pulled into its protective cage (a rigid component of the moving machinery); it might also be classified as caught in/between objects because the employee became entangled in a rope that was drawn into the bush hog’s moving parts, trapping him between the rope’s force and the cage, consistent with the ""caught in/between"" mechanism of injury."
Employee'S Body Is Caught In Asphalt Machine  Dies,On november 27 2012 employee #1 was operating an asphalt-pulverizing machine. The employee's work clothing zipper was caught in the asphalt-pulverizing machine pulling his body into the squeeze point action of the machine. Employee #1 was amputated from the abdominal point of his body. The employee was pronounced dead at the scene.,caught in/between objects,struck by moving objects,caught in/between objects,正确,"The text might be classified as caught in/between objects because the employee’s clothing became entangled in the machine’s moving parts, trapping them in a pinch point; it might also be classified as struck by moving objects because the machine’s rotating components actively pulled the victim into the hazard, aligning with injuries caused by dynamic mechanical forces rather than static entrapment."
Employee Is Pinned Between Truck And Trailer  Dies,At approximately 7:00 a.m. on november 27 2912 employee #1 was delivering pipes for a water line installation. The employee was working alone and parked the trailer truck. Employee #1 unhooked the trailer from the truck and the trailer rolled forward. The employee was pinned between the truck and the trailer. A coworker realized the employee#1 had not returned and went to look for him. The coworker found employee #1 caught between the truck and trailer. Another coworker called emergency medical services and employee #1 was transported to a trauma unit where he was pronounced dead.,caught in/between objects,struck by moving objects,caught in/between objects,正确,"The text might be classified as caught in/between objects because the employee was pinned between two stationary/mobile objects (truck and trailer), resembling typical entrapment scenarios; it might also be classified as struck by moving objects because the trailer’s unintended forward motion (after being unhooked) acted as a moving object striking the victim, aligning with machinery/equipment movement hazards."
Employee'S Toe Injured By Falling Compactor,At approximately 8:10 a.m. on december 12 1991 employee #1 of santa maria electric inc. was operating a walk-behind sheep foot compactor. When he was lowering it into a trench that was about 3 ft wide by 2 ft deep the bumper fell down against the dirt bank catching employee #1's big toe between the bumper and the dirt bank. His toe suffered a chipped bone injury. Employee #1 was wearing regular work boots not hard toe shoes or any other foot protection.,collapse of object,caught in/between objects,caught in/between objects,正确,"The text might be classified as collapse of object because the bumper ""fell down"" during equipment operation, superficially resembling a structural component failure; it might also be classified as caught in/between objects because the injury explicitly occurred when the toe was compressed between the bumper and dirt bank (two distinct objects), aligning with the definition of body parts caught between mechanical components and fixed surfaces."
Employee'S Arm Is Amputated In Concrete Truck Mixer,On january 13 2005 employee #1 a concrete truck driver arrived at a job site to pour footing concrete into an on-site concrete pump. After realizing that the concrete was too muddy he climbed the ladder and added 50 pounds of lime to dry out the concrete mix. Employee #1 allowed the concrete mixer to run for approximately 15 minutes checked the concrete and again determined the concrete was too muddy. He climbed back up the ladder and added the contents of a 90-pound bag of cement into the upper hopper. While pouring cement the bag slipped out of his hand. When he quickly reached for it his right jacket arm became caught in the hopper causing his arm to be pulled in. Employee #1 was hospitalized for an arm amputation at the elbow.,caught in/between objects,struck by moving objects,caught in/between objects,正确,"The text might be classified as caught in/between objects because the employee's arm became entangled in the hopper's moving machinery, fitting the definition of body parts trapped between components; it might also be classified as struck by moving objects because the hopper mechanism (a moving object) actively pulled the arm into its path, emphasizing motion-driven impact rather than static entrapment."
Employee Is Killed When Struck By Collapsing Wall,On april 30 2008 employee #1 was using a sludge hammer to knock down a 9-ft high cinder block asbestos wall. He struck the wall near the bottom causing the wall to collapse on him. Employee #1 was killed. He did not use scaffolding to access the upper parts of the wall first.,collapse of object,struck by falling object,collapse of object,正确,"The text might be classified as collapse of object because the wall’s collapse could be interpreted as a structural failure triggered by intentional demolition work; it might also be classified as struck by falling object because the wall itself functioned as a free-falling object after being struck, with no explicit pre-existing structural instability unrelated to the worker’s direct action."
One Employee Killed One Injured In Fall From Elevation,Employee #1 was on a column preparing to connect a beam. Employee #2 was positioning a man-lift to connect the other end of the beam to another column. The man-lift hit one of the supports holding the column and the column fell with employee #1 on it. Employee #1 was killed and employee #2 suffered a concussion but was not hospitalized.,collapse of object,struck by falling object,collapse of object,正确,"The text might be classified as collapse of object because the column’s fall could imply structural instability or failure of its supports; it might also be classified as struck by falling object because the column fell due to an external force (man-lift impact), not inherent structural failure, making it a free-falling object that struck the victim."
Employee Is Killed In Trench Cave,On january 22 2008 an employee working for christopher hauswald fell into a 3 ft wide 15 ft deep trench. Moments afterwards the trench caved in on him. The employee died at the scene. No other details were provided in the narrative.%09,collapse of object,falls,collapse of object,正确,"The text might be classified as collapse of object because the trench cave-in (structural failure) directly caused the fatal entrapment; it might also be classified as falls because the employee first fell into the trench, which could be interpreted as an uncontrolled fall event preceding the structural collapse."
Worker Standing On Raised Plywood Falls  Sustains Injuries,On march 8 2013 an employee of hanover builders was engaged in exterior carpentry work at a residential construction site. He was standing on a sheet of plywood on joists in order to spread a stack of plywood placed next to him. The employee fell approximately 11 feet. He was transported to the hospital where he was admitted and treated for two fractured discs and fractured ribs. The employer was a framing contractor in business for 25 years. This work-related injury was reported to cal/osha on march 22 2013. The investigation determined that the joists did not brace and securely support the load that is the employee plus the stack of plywood.,falls,collapse of object,collapse of object,正确,"The text might be classified as falls because the employee fell from an elevation of 11 feet due to losing support underfoot, which is a slip/trip/fall scenario ; it might also be classified as collapse of object because the joists explicitly failed to brace the combined load (worker + plywood), constituting a structural failure that initiated the accident sequence."
One Employees Is Injured When Boring Machine Overturns,On june 14 2012 employee #1 was working for payne mcginn and cummins inc. as operator of a boring machine. Employee # 1 was a member of a five man construction crew which included two employees employee #1 the boring operator and a laborer. Employee #1 was boring several feet under a petroleum line installing a new 20 in. Ductile iron pipe water line for the community they were working in. The excavation was about 15 feet deep 30 to 35 feet long and 12 to 15 feet wide. Employee #1 was positioned on a platform on the right side of a machine of a large horizontal mclaughlin boring 30-36 weighing approximately 5 900 pounds. Employee #1 finished boring 40 feet through the ground and was backing the machine up the machine rolled and lifted up off its 30 foot long track to the right crushing the operator while he was still at the controls. The laborer was in the excavation site he ran over to the operator when he saw the machine lifted up. The rear part of the machine caught the laborer's leg breaking it. The cause of the accident was the machine lifting off of the tracks and crushing the operator and injuring the laborer.,struck by falling object,struck by moving objects,collapse of object,错误,"The text might be classified as struck by falling object because the machine lifted off its track and crushed the operator, resembling an object falling under gravity ; it might also be classified as struck by moving objects because the machine itself shifted dynamically (rolled/lifted) as a moving object, striking the operator and laborer during its uncontrolled motion."
Employee Suffered Face Injury From A Broken Cable,On february 25 2002 a crane operator suffered a face injury when a cable broke. Emergency response was contacted but employee #1 was not taken to the hospital.,collapse of object,struck by falling object,collapse of object,正确,"The text might be classified as collapse of object because the broken cable could imply a structural failure of the crane system (e.g., tension overload leading to collapse-like disintegration); it might also be classified as struck by falling object because the cable itself or a component it supported (e.g., crane boom) fell freely due to mechanical failure, striking the victim without structural collapse of a fixed object."
Employee Injured When Crane Tipped,On april 23 2001 employee #1 was installing concrete traffic barriers on an interstate highway. Employee #1 was in the process of moving and setting k-rails and was operating a national crane model n-135. The k-rail was 20-ft long and weighed approximately 8 000 pounds. Employee #1 attempted to drag the k-rail closer to the crane and then attempted to lift it without the crane outriggers being fully deployed. This action resulted in overloading the crane and as a result the crane tipped. A portion of the truck-mounted crane's lighting system trapped employee #1 between the k-rail and the truck mounted crane. Employee #1 suffered a fracture pelvis lacerated bladder and trauma to the scrotum area. Employee #1 was hospitalized.,collapse of object,caught in/between objects,collapse of object,正确,"The text might be classified as collapse of object because the crane tipping could be misconstrued as a structural failure (e.g., crane collapse); it might also be classified as caught in/between objects because the first uncontrolled action was the crane tipping due to operational error (outriggers not deployed), which trapped the victim between the k-rail and crane, aligning with machinery-related entrapment."
Employee Falls Through Floor  Fractures Wrist And Vertebra,At approximately 12:30 p.m. on june 12 2008 employee #1 was pouring concrete to make stairs on the side of the house being remodeled. Employee #1 walked across the second floor of the house through the framing of the wall and stepped on a plywood sheet that collapsed. Employee #1 said he went through the framing and stood on the plywood surface to see if the concrete vibrator was plugged into a spider box located at a lower level. The joists as well as other supports (concrete supports) were removed by the carpenters the morning of the accident due to the demolition project. The carpenters were going to renail the plywood onto new joists. The wood framing employee #1 walked through did not have any openings 18 in. Or wider so it was not a wall opening that required a guardrail. Employee #1 was never told about the unsupported surface. However the project manager of the general contractor said employee #1 was told about the hazard before the injury. Employee #1 fell 9 ft to the ground when the unsupported surface collapsed. Employee #1 suffered a fractured left wrist stretched tendons in his left hand and a fractured and compressed l1 vertebra. Employee #1 was hospitalized for five days.,collapse of object,falls,collapse of object,正确,"The text might be classified as collapse of object because the plywood collapse resulted from structural supports (joists and concrete) being intentionally removed during demolition, creating a structural failure scenario; it might also be classified as falls because the plywood itself was not a structural component but an unsecured temporary surface, and the fall occurred from elevation without explicit evidence of a broader structural collapse (e.g., framing or walls)."
Employee Is Injured In Aerial Lift Collapse,At approximately 10:45 a.m. on september 19 2009 employee #1 was operating an eagle 44 towable boom lift (serial number 17901) at an approximate height of 32 ft to remove signs located outside of a retail store. When the lower boom's hydraulic cylinder apparently failed the boom fell to the ground. Witnesses indicated that employee #1 was ejected from the basket and then restrained by his fall protection equipment. He was hospitalized at renown medical hospital for severe injuries to his face fractured ribs and a fractured vertebra.,collapse of object,struck by falling object,collapse of object,正确,"The text might be classified as collapse of object because the hydraulic cylinder failure caused the aerial lift’s structural integrity to fail, leading to the boom’s collapse; it might also be classified as struck by falling object because the boom itself fell from height as a free-falling object (not due to structural failure of a building or fixed structure), striking the employee during its descent."
Employee Drowned When Bobcat Flips And Pins Him Underwater,At approximately 8:37 a.m. on february 12 2003 an employee of watson trucking and equipment rental was operating a bobcat at a construction site. The employee was removing debris from the back of a house that was under construction. The employee was in shallow water operating the bobcat. He was observed moving the bobcat bucket in and out of the water. It appears that he was attempting to clean the bucket when the employee tried to back up out of the water. He was unsuccessful. When he tried to move the bobcat to the left the bobcat flipped over in the deepest part of the canal. The bobcat slid down the embankment coming to rest in approximately 48 ft of water. The employee was pinned under the machine and subsequently drowned.,others,caught in/between objects,collapse of object,错误,"The text might be classified as others because the fatal outcome involved drowning, which is explicitly included in the ""others"" category ; it might also be classified as caught in/between objects because the employee was pinned underwater by the overturned Bobcat, resembling a ""caught/crushed between"" mechanism similar to machinery-related samples in that category."
Employee Is Killed When Struck By Falling Joists,On october 14 2012 employee #1 and other workers were installing structural steel joists and decking to the top of cmu block walls. The joists were not yet welded into place due to heavy rain earlier in the day. When a bundle of decking was placed on top of the joists they began to roll and bend. A supervisor then had a crane move the bundle to a location where another bundle of decking had already been placed on top of the unsecured joists. When the second bundle of decking was lowered to the unsecured joists they rolled and fell onto employee #1. He was killed.,collapse of object,struck by falling object,collapse of object,正确,"The text might be classified as collapse of object because the unsecured joists rolling and falling under the added decking load could resemble a structural failure sequence (e.g., unsecured components leading to instability); it might also be classified as struck by falling object because the joists were not yet part of a completed structure and fell freely due to improper securing, functioning as a falling object rather than a structural collapse."
Employee Is Struck By Wooden Post  Bruises Shoulder,On december 7 2006 employee #1 was working in a 4 ft deep excavation installing a sewage pump. Approximately 3 ft from the edge of the excavation was a 4-in. By 4-in. By 8-ft wooden post (clothes line pole) imbedded in concrete. The soil was moist. The unsupported post fell into the excavation striking the employee in the left shoulder. He sustained a bruised shoulder. Employee #1 was transported to a hospital and released that same day.,collapse of object,struck by falling object,collapse of object,正确,"The text might be classified as collapse of object because the wooden post was embedded in concrete, suggesting a structural element that ""collapsed""; it might also be classified as struck by falling object because the post fell independently (not due to structural failure) and struck the worker as a free-falling object."
Employee Falls Due To Ladder Collapse,At approximately 11:15 a.m. on november 12 2012 employee #1 of young's roofing inc. fell from an extension ladder when it collapsed while he was installing a piece of flashing about 14 feet up on the building wall. Employee #2 was working nearby and both employee #1 and employee #2 said the ladder was resting on the building at a point about 15 feet above the sidewalk. According to both workers the bottom rails of the ladder were four to five feet away from the wall. Employee #1 said he was unable to find a tie-off point for his ladder. Employee #2 said he was setting upon a second ladder on the same wall. Employee #1 said he was transferring pressure of his right arm and torso onto the ladder while he was using a cordless power-driver to install screws for the flashing into the wall. Employee #1 felt that this is what dislodged the ladder from the bottom outward away from the wall. Employee #1 was taken to stanford hospital for treatment of injuries including two broken wrists and orbital skull fracture. He was released on november 15 2012.,collapse of object,falls,collapse of object,正确,"The text might be classified as collapse of object because the ladder’s collapse could be interpreted as a structural failure of the equipment; it might also be classified as falls because the collapse resulted from improper setup (lack of tie-off and incorrect base distance), aligning with falls caused by unstable elevation access rather than inherent structural failure."
Employee Killed In Fall When Scaffold Collapses In Wind,At approximately 10:00 a.m. on january 30 2008 employee #1 a stucco installer was on the top level of a 16 ft wide by 18 ft high tubular scaffold. It was positioned on the thirteenth floor roof level 146 ft 9-1/4 in. Above the ground. He was scoring the styrofoam base for the stucco when a high gust of wind caused the scaffold to collapse. Employee #1 fell approximately 140 ft to the third floor roof level. He was transported to the hospital where he was pronounced dead. The scaffold was found to be improperly anchored.,collapse of object,struck by falling object,collapse of object,正确,"The text might be classified as collapse of object because the scaffold collapse stemmed from improper anchoring (a structural failure); it might also be classified as struck by falling object because the wind caused the scaffold to fall freely from height, functioning as an uncontrolled falling object that led to the fatal impact."
Employee Killed Due To Fall Down Air Draft System,An employee was working on a boom at a hospital over a 200-ft by 6-ft by 38-ft-deep air draft system. The boom started to break and the employee attempted to escape from the boom but fell into the air draft system striking the level below. He suffered bruises and contusions and was killed.,collapse of object,falls,collapse of object,正确,"The text might be classified as collapse of object because the boom breaking constitutes structural failure (a collapsing mechanism), initiating the sequence of events; it might also be classified as falls because the fatal outcome directly resulted from the fall from elevation, which superficially aligns with slip/trip/fall narratives despite being caused by the preceding structural failure."
Employee Killed In Fall When Bridge Form Collapses,Employee #1 was operating a bull float on a bridge deck when the form gave way and the bridge deck caved in. He fell head first and was buried up to his chest in soft concrete. It took approximately 15 minutes to rescue employee #1 from the concrete. He was transported to the local hospital where he was treated in intensive care for several days before he died.,collapse of object,struck by falling object,collapse of object,正确,"The text might be classified as collapse of object because the bridge form giving way implies structural failure of the temporary formwork system, initiating the collapse; it might also be classified as struck by falling object because the collapsing form and deck functioned as a falling object that buried the victim, with no explicit distinction between structural failure and free-falling debris in the description."
Three Employees Injured In Fall When Hoist Cable Breaks,Employees #1 through #3 were working at a construction site. Employee #1 was working from a single-point suspension platform using a sky climber hoist cable model #480628 and a separate skylock cable model #305.006 serial #23our. His safety belt was attached to the skylock cable. Both cables were 5/6 in. Plowshare steel 1 by 31. Employee #1 was traveling from the 40th floor to the top of the building to install a counterweight when the hoist cable broke. The skylock failed to engage and the platform plummeted to the top of a lift car on the 31st floor. He sustained a broken leg and multiple contusions. Employees #2 and #3 were working on top of the temporary car installing conduit for the elevator operation controls. Employee #2 suffered a puncture wound and multiple contusions; employee #3 sustained a severely bruised shoulder and chest along with multiple contusions. All three were hospitalized. The top of the lift car had a guardrail and employees #2 and #3 were wearing safety belts attached to the car cables. They had no separate safety line.,collapse of object,others,collapse of object,正确,"The text might be classified as collapse of object because the failure of the hoist cable caused the platform to plummet, resembling a structural collapse of suspended equipment; it might also be classified as others because the initiating event was a mechanical/equipment failure (hoist cable breakage) not tied to structural integrity, and the fall resulted from this failure rather than a structural collapse."
